,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
0,0,0,0,25.8,2.83,0,0.11599999999999999,-0.19,0.32,-0.11599999999999999,CONFIRMED
1,0,0,1,76.3,14.6,0,0.0341,-1.31,3.92,-0.0341,FALSE POSITIVE
2,0,0,1,505.6,33.46,0,0.005370000000000001,-2.83,8.5,-0.005370000000000001,FALSE POSITIVE
3,0,0,0,40.9,2.75,0,0.042,-0.35,0.88,-0.042,CONFIRMED
4,0,0,0,40.2,2.77,0,0.0673,-0.3,0.9,-0.0673,CONFIRMED
5,0,0,0,15.0,1.59,0,0.165,-0.17,0.52,-0.165,CONFIRMED
6,0,0,0,161.9,5.76,0,0.0241,-0.49,0.22,-0.0241,CONFIRMED
7,0,0,0,4304.3,13.04,0,0.00107,-0.51,0.51,-0.00107,CONFIRMED
8,0,0,1,5945.9,16.1,0,0.00203,-0.91,0.81,-0.00203,CONFIRMED
9,0,0,0,1741.5,14.59,0,0.006529999999999999,-1.11,1.11,-0.006529999999999999,CONFIRMED
10,0,0,0,50.6,1.16,0,0.0427,-0.12,0.17,-0.0427,CONFIRMED
11,0,0,1,622.1,150.51,0,0.0114,-13.31,39.76,-0.0114,FALSE POSITIVE
12,0,0,1,2317.0,49.29,0,0.00235,-5.0,16.03,-0.00235,FALSE POSITIVE
13,0,0,1,303.4,7.94,0,0.06,-0.89,0.89,-0.06,FALSE POSITIVE
14,0,0,0,87.2,2.47,0,0.0309,-0.24,0.2,-0.0309,CONFIRMED
15,0,0,0,65.4,2.85,0,0.0311,-0.15,0.26,-0.0311,CONFIRMED
16,1,0,1,48.2,1.58,1,0.0686,-0.16,0.13,-0.0686,FALSE POSITIVE
17,0,0,0,28.9,1.7,0,0.0737,-0.16,0.11,-0.0737,CONFIRMED
18,0,0,1,994.0,41.5,0,0.0184,-1.68,1.68,-0.0184,FALSE POSITIVE
19,0,0,0,34.3,2.95,0,0.0656,-0.23,0.12,-0.0656,CONFIRMED
20,0,0,0,28.2,2.78,0,0.0762,-0.23,0.52,-0.0762,CONFIRMED
21,0,0,0,61.8,2.3,0,0.042,-0.19,0.58,-0.042,CONFIRMED
22,1,0,0,181.1,4.53,0,0.0483,-0.44,1.01,-0.0483,FALSE POSITIVE
23,0,1,0,642.7,14.14,0,0.131,-0.71,2.13,-0.131,FALSE POSITIVE
24,0,0,1,85.3,39.87,0,0.105,-5.48,12.79,-0.105,FALSE POSITIVE
25,0,0,0,51.2,3.86,0,0.0633,-0.33,0.15,-0.0633,CONFIRMED
26,0,0,0,47.1,2.65,0,0.0426,-0.23,0.1,-0.0426,CONFIRMED
27,0,0,0,80.0,3.36,0,0.057999999999999996,-0.33,0.76,-0.057999999999999996,CONFIRMED
28,0,0,0,19.1,2.12,0,0.204,-0.21,0.48,-0.204,CONFIRMED
29,0,0,0,696.5,12.21,0,0.0075,-1.46,1.96,-0.0075,CANDIDATE
30,1,0,1,48.3,6.54,0,0.0892,-0.75,1.64,-0.0892,FALSE POSITIVE
31,0,0,0,29.5,2.1,0,0.0934,-0.22,0.65,-0.0934,CONFIRMED
32,0,0,1,513.4,12.42,0,0.0179,-1.69,3.92,-0.0179,FALSE POSITIVE
33,0,0,0,166.7,2.94,0,0.024,-0.38,0.43,-0.024,CONFIRMED
34,0,0,0,141.1,5.5,0,0.08800000000000001,-0.96,1.57,-0.08800000000000001,CONFIRMED
35,0,0,0,43.4,2.52,0,0.0518,-0.24,0.54,-0.0518,CONFIRMED
36,0,0,0,128.6,4.43,0,0.0362,-0.51,1.44,-0.0362,CONFIRMED
37,0,0,0,1406.8,12.21,0,0.006659999999999999,-0.87,1.62,-0.006659999999999999,CONFIRMED
38,1,0,1,236.1,7.34,0,0.10400000000000001,-0.6,0.9,-0.10400000000000001,FALSE POSITIVE
39,0,0,0,71.1,3.25,0,0.0423,-0.25,0.47,-0.0423,CONFIRMED
40,0,0,0,37.9,3.95,0,0.073,-0.31,0.57,-0.073,CONFIRMED
41,0,0,0,88.4,2.64,0,0.0489,-0.27,0.4,-0.0489,CONFIRMED
42,0,0,0,47.1,1.79,0,0.0384,-0.23,0.26,-0.0384,CONFIRMED
43,0,0,1,835.6,15.03,0,0.0129,-1.58,4.73,-0.0129,FALSE POSITIVE
44,0,0,0,28.9,2.0,0,0.0798,-0.1,0.09,-0.0798,CONFIRMED
45,0,0,0,21.7,1.99,0,0.126,-0.09,0.09,-0.126,CONFIRMED
46,0,0,0,345.2,6.02,0,0.035,-0.52,1.22,-0.035,CONFIRMED
47,0,0,0,36.9,7.51,0,0.14,-0.91,1.12,-0.14,CANDIDATE
48,0,0,0,38.9,1.99,0,0.0384,-0.12,0.1,-0.0384,CONFIRMED
49,0,0,0,82.4,2.34,0,0.0271,-0.09,0.17,-0.0271,CONFIRMED
50,0,0,0,13.7,19.45,0,0.171,-0.71,1.4,-0.171,CANDIDATE
51,0,0,0,8.7,0.55,0,0.40700000000000003,-0.07,0.08,-0.40700000000000003,CANDIDATE
52,0,0,0,71.0,2.65,0,0.052000000000000005,-0.29,0.21,-0.052000000000000005,CONFIRMED
53,0,0,0,312.1,4.86,0,0.0681,-0.37,1.05,-0.0681,CONFIRMED
54,0,0,0,37.1,1.93,0,0.0551,-0.12,0.1,-0.0551,CONFIRMED
55,0,0,0,30.3,1.91,0,0.0393,-0.12,0.1,-0.0393,CONFIRMED
56,0,0,0,35.8,2.66,0,0.0834,-0.23,0.54,-0.0834,CONFIRMED
57,0,0,0,83.7,2.87,0,0.11900000000000001,-0.3,0.43,-0.11900000000000001,CONFIRMED
58,1,0,1,39.0,21.55,0,0.12,-1.89,3.54,-0.12,FALSE POSITIVE
59,0,0,0,103.6,32.43,0,0.0285,-4.83,9.0,-0.0285,CANDIDATE
60,0,0,0,20.1,2.36,0,0.184,-0.2,0.34,-0.184,CONFIRMED
61,0,0,0,277.2,7.4,0,0.0592,-0.73,2.2,-0.0592,CONFIRMED
62,0,0,1,112.6,46.58,0,0.0232,-8.0,8.01,-0.0232,FALSE POSITIVE
63,0,0,0,38.9,2.06,0,0.0559,-0.28,0.29,-0.0559,CONFIRMED
64,0,0,0,50.8,2.77,0,0.0454,-0.15,0.46,-0.0454,CONFIRMED
65,1,0,1,299.7,27.51,1,0.0115,-1.73,3.46,-0.0115,FALSE POSITIVE
66,0,0,0,183.6,7.73,0,0.0331,-0.72,2.17,-0.0331,CANDIDATE
67,0,0,0,35.2,1.96,0,0.0754,-0.16,0.13,-0.0754,CONFIRMED
68,0,0,0,26.0,1.83,0,0.13,-0.15,0.12,-0.13,CONFIRMED
69,0,0,0,17.1,1.31,0,0.177,-0.13,0.2,-0.177,CONFIRMED
70,0,0,0,370.8,7.34,0,0.0302,-0.65,1.53,-0.0302,CONFIRMED
71,0,0,0,32.1,2.32,0,0.122,-0.16,0.38,-0.122,CONFIRMED
72,0,0,0,799.7,9.73,0,0.0033799999999999998,-1.42,1.41,-0.0033799999999999998,CONFIRMED
73,1,1,0,14.2,17.47,0,0.731,-1.65,4.12,-0.731,FALSE POSITIVE
74,0,0,0,53.9,2.57,0,0.0528,-0.26,0.44,-0.0528,CANDIDATE
75,0,0,1,636.8,13.28,0,0.0272,-2.41,3.64,-0.0272,FALSE POSITIVE
76,0,0,0,14.4,0.79,0,0.18600000000000003,-0.08,0.13,-0.18600000000000003,CONFIRMED
77,0,0,0,347.2,12.19,0,0.0327,-0.52,1.11,-0.0327,CONFIRMED
78,1,0,0,38.8,25.69,1,0.0846,-2.33,7.44,-0.0846,FALSE POSITIVE
79,1,0,0,48.5,1.7,1,0.113,-0.15,0.1,-0.113,FALSE POSITIVE
80,0,0,0,1009.3,11.3,0,0.0106,-1.33,3.09,-0.0106,CONFIRMED
81,0,0,0,70.6,2.5,0,0.0332,-0.19,0.34,-0.0332,CANDIDATE
82,0,0,0,71.6,2.03,0,0.0318,-0.17,0.13,-0.0318,CONFIRMED
83,1,0,1,64.9,30.26,0,0.0427,-3.19,9.57,-0.0427,FALSE POSITIVE
84,0,0,0,46.1,3.12,0,0.0687,-0.28,0.47,-0.0687,CONFIRMED
85,0,0,0,28.5,2.76,0,0.18100000000000002,-0.24,0.43,-0.18100000000000002,CONFIRMED
86,0,0,0,39.7,4.02,0,0.19899999999999998,-0.36,0.62,-0.19899999999999998,CONFIRMED
87,0,0,0,1996.7,11.58,0,0.00079,-0.48,0.9,-0.00079,CONFIRMED
88,0,0,0,113.2,5.52,0,0.043,-0.56,1.7,-0.043,CONFIRMED
89,0,0,0,56.4,2.1,0,0.0447,-0.16,0.14,-0.0447,CONFIRMED
90,0,0,1,1300.0,27.5,0,0.00645,-2.27,5.28,-0.00645,FALSE POSITIVE
91,0,0,1,296.9,30.09,0,0.27399999999999997,-3.14,5.79,-0.27399999999999997,FALSE POSITIVE
92,0,0,0,107.4,2.89,0,0.044000000000000004,-0.1,0.13,-0.044000000000000004,CONFIRMED
93,0,0,0,37.8,3.38,0,0.091,-0.49,0.91,-0.091,CONFIRMED
94,0,0,0,166.0,11.01,0,0.0645,-0.82,0.44,-0.0645,CONFIRMED
95,0,0,0,39.3,2.11,0,0.0635,-0.2,0.18,-0.0635,CONFIRMED
96,0,0,0,21.3,1.46,0,0.10300000000000001,-0.14,0.12,-0.10300000000000001,CONFIRMED
97,0,0,0,70.8,2.44,0,0.0408,-0.21,0.6,-0.0408,CONFIRMED
98,0,0,0,568.2,8.99,0,0.0168,-0.99,0.8,-0.0168,CONFIRMED
99,0,0,0,117.2,6.5,0,0.102,-0.23,0.64,-0.102,CONFIRMED
100,0,0,1,1671.1,17.61,0,0.00533,-1.87,4.05,-0.00533,FALSE POSITIVE
101,0,0,0,49.1,3.06,0,0.0875,-0.58,0.54,-0.0875,CONFIRMED
102,0,0,0,35.1,2.32,0,0.0994,-0.45,0.4,-0.0994,CONFIRMED
103,0,0,0,19.9,1.62,0,0.106,-0.32,0.28,-0.106,CONFIRMED
104,0,0,0,50.4,1.53,0,0.0558,-0.05,0.07,-0.0558,CONFIRMED
105,0,0,0,20.9,2.37,0,0.134,-0.09,0.17,-0.134,CONFIRMED
106,1,0,1,50.5,17.06,1,0.0817,-1.6,1.32,-0.0817,FALSE POSITIVE
107,0,0,0,38.4,2.25,0,0.0595,-0.14,0.07,-0.0595,CONFIRMED
108,0,0,0,22.8,1.48,0,0.0984,-0.09,0.05,-0.0984,CONFIRMED
109,0,0,1,269.7,38.33,0,0.0122,-4.27,12.8,-0.0122,FALSE POSITIVE
110,0,0,0,99.5,5.39,0,0.0321,-0.53,1.6,-0.0321,CONFIRMED
111,0,0,0,54.4,3.01,0,0.0529,-0.3,0.24,-0.0529,CONFIRMED
112,0,0,0,25.7,3.01,0,0.305,-0.3,0.24,-0.305,CONFIRMED
113,0,0,0,24.8,2.19,0,0.111,-0.08,0.22,-0.111,CANDIDATE
114,0,0,0,52.7,2.31,0,0.0562,-0.22,0.17,-0.0562,CONFIRMED
115,0,0,0,51.7,2.64,0,0.0634,-0.26,0.19,-0.0634,CONFIRMED
116,0,0,0,240.6,6.21,0,0.0224,-0.82,2.05,-0.0224,CONFIRMED
117,0,0,0,116.1,4.35,0,0.0265,-0.28,0.64,-0.0265,CONFIRMED
118,0,0,0,74.6,3.75,0,0.11199999999999999,-0.47,1.11,-0.11199999999999999,CONFIRMED
119,0,0,0,748.1,13.84,0,0.00935,-1.21,3.63,-0.00935,CONFIRMED
120,0,0,0,160.9,7.59,0,0.13,-1.52,1.24,-0.13,CONFIRMED
121,0,0,0,62.0,2.29,0,0.0669,-0.08,0.12,-0.0669,CONFIRMED
122,0,0,0,49.2,2.47,0,0.0602,-0.31,0.59,-0.0602,CONFIRMED
123,0,0,0,62.6,3.68,0,0.0875,-0.36,0.54,-0.0875,CONFIRMED
124,0,0,0,271.8,10.59,0,0.0606,-0.52,0.35,-0.0606,CANDIDATE
125,0,0,0,45.5,3.03,0,0.0756,-0.15,0.2,-0.0756,CONFIRMED
126,0,0,0,22.6,2.32,0,0.0721,-0.12,0.15,-0.0721,CONFIRMED
127,0,0,0,27.4,1.94,0,0.132,-0.22,0.12,-0.132,CONFIRMED
128,0,0,0,907.8,11.38,0,0.0136,-1.04,2.07,-0.0136,CONFIRMED
129,0,0,0,561.1,14.21,0,0.0213,-1.49,4.46,-0.0213,CANDIDATE
130,0,0,0,355.7,8.2,0,0.051,-0.55,0.5,-0.051,CONFIRMED
131,0,0,1,184.1,19.02,0,0.0194,-2.28,4.92,-0.0194,FALSE POSITIVE
132,1,0,1,51.7,2.66,1,0.505,-0.27,0.2,-0.505,FALSE POSITIVE
133,0,0,0,30.7,1.41,0,0.0554,-0.05,0.13,-0.0554,CONFIRMED
134,0,0,1,1630.4,14.62,0,0.00627,-1.58,2.92,-0.00627,FALSE POSITIVE
135,0,0,0,64.8,2.62,0,0.0324,-0.26,0.78,-0.0324,CONFIRMED
136,0,0,0,86.1,3.11,0,0.0314,-0.21,0.39,-0.0314,CONFIRMED
137,0,0,0,37.8,2.69,0,0.0986,-0.18,0.33,-0.0986,CONFIRMED
138,0,0,0,21.1,2.67,0,0.0777,-0.18,0.33,-0.0777,CONFIRMED
139,0,0,0,223.5,8.98,0,0.0382,-1.35,1.23,-0.0382,CANDIDATE
140,1,0,1,58.3,4.37,0,0.0878,-0.46,1.38,-0.0878,FALSE POSITIVE
141,0,0,0,88.0,3.91,0,0.0417,-0.29,0.43,-0.0417,CONFIRMED
142,0,0,0,155.5,5.51,0,0.0438,-0.41,0.62,-0.0438,CONFIRMED
143,0,0,0,59.3,2.43,0,0.0317,-0.18,0.27,-0.0317,CONFIRMED
144,0,0,0,41.4,1.86,0,0.0297,-0.13,0.21,-0.0297,CONFIRMED
145,0,0,0,62.4,3.07,0,0.0538,-0.14,0.21,-0.0538,CONFIRMED
146,0,0,0,30.5,1.69,0,0.0392,-0.08,0.11,-0.0392,CONFIRMED
147,0,0,1,307.5,22.94,0,0.0165,-1.96,4.93,-0.0165,FALSE POSITIVE
